zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Figure A-3. Native forb browneyes (Chylismia claviformis) found commonly throughout the lot
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Palafoxia arida
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Malacothamnus fasciculatus
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Chylismia claviformis
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Astragalus lentiginosus var. coachellae
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Astragalus tricarinatus
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Abronia villosa var. aurita
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Ambrosia monogyra
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Astragalus bernardinus
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Astragalus preussii var. laxiflorus
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Astragalus sabulonum
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Ayenia compacta
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Bursera microphylla
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Ditaxis claryana
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Eremothera boothii ssp. boothii
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Linanthus maculatus ssp. maculatus
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Eriastrum harwoodii
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Euphorbia abramsiana
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Euphorbia arizonica
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Euphorbia platysperma
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Funastrum crispum
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Leptosiphon floribundus ssp. hallii
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Marina orcuttii var. orcuttii
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Matelea parvifolia
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Nemacaulis denudata var. gracilis
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Petalonyx linearis
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Phaseolus filiformis
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Pseudorontium cyathiferum
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Salvia greatae
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Saltugilia latimeri
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Senna covesii
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Stemodia durantifolia
zips/2025100997/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Technical Report.PDF:Xylorhiza cognata
zips/2025101065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tract 6499 Draft ISMND_F_OCR.PDF:Lasthenia chrysantha
zips/2025101065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tract 6499 Draft ISMND_F_OCR.PDF:Atriplex depressa
zips/2025101065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tract 6499 Draft ISMND_F_OCR.PDF:Puccinellia simplex
zips/2025101065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tract 6499 Draft ISMND_F_OCR.PDF:Imperata brevifolia
zips/2025101065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tract 6499 Draft ISMND_F_OCR.PDF:Atriplex cordulata var. erecticaulis
zips/2025101065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tract 6499 Draft ISMND_F_OCR.PDF:Atriplex minuscula
zips/2025101065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tract 6499 Draft ISMND_F_OCR.PDF:Pseudobahia peirsonii
zips/2025101065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tract 6499 Draft ISMND_F_OCR.PDF:Sagittaria sanfordii
