zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Atriplex coronata var.
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Atriplex parishii)
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Atriplex serenana var.
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Brodiaea filifolia)
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Centromadia pungens ssp.
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Lasthenia glabrata ssp.
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Myosurus minimus ssp.
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Allium munzii)
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Ambrosia pumila)
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Dudleya multicaulis)
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Navarretia fossalis)
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Orcuttia californica)
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Trichocoronis wrightii var.
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Hordeum intercedens)
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Lepidium virginicum var.
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Abronia villosa var. aurita)
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Chorizanthe parryi var.
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Chorizanthe polygonoides
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:Cordylanthus rigidus.
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App C_Cultural.PDF:which were used (Quercus californica, Quercus agrifolia, Quercus chrysolepis, Quercus dumosa,
zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App C_Cultural.PDF:Quercus engelmannii, and Quercus wislizenii). Seeds, particularly of grasses, flowering plants,
zips/2025110537/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN25-0071 CUP25-0002 Vertical Bridge Initial Study signed submittal.PDF:USFWS and CDFW including the Dubious pea (Allium sanbornii var. argillaceus), Sanborn’s Onion
zips/2025110537/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN25-0071 CUP25-0002 Vertical Bridge Initial Study signed submittal.PDF:(Allium sanbornii var. sanbornii), True’s manzanita (Arctostaphylos mewukka ssp.Truei), and
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Allium howellii var.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Atriplex coronata var.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Caulanthus californicus
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Delphinium recurvatum
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eremalche parryi ssp.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Monolopia congdonii
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eriastrum hooveri
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eriogonum gossypinum
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Layia munzii
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Monolopia congdonii
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Trichostema ovatum
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:6.1.1 San Joaquin Woollythreads (Monolopia congdonii) ............................................ 6-19
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:6.1.2 Kern Mallow (Eremalche parryi ssp. kernensis).................................................. 6-19
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:6.2.1 Recurved larkspur (Delphinium recurvatum)....................................................... 6-20
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:6.2.3 San Joaquin bluecurls (Trichostema ovatum)..................................................... 6-20
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:San Joaquin woollythreads (Monolopia congdonii) – FE
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Allium howellii var.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Astragalus macrodon
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Atriplex coronata var.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Cirsium crassicaule
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Delphinium recurvatum
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eremalche parryi ssp.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eriastrum hooveri
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Caulanthus californicus
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Atriplex flavida
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Atriplex coronata var.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eriogonum gossypinum
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Fritillaria agrestis
