zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00Draft Initial Study_230 Long Ranch Rd_P24-00114-ECPA_ocr.PDF:(Ceanothus purpureus), Sharsmith’s western flax (Hesperolinon sharsmithiae), Napa lomatium (Lomatium repostum), Mt. Diablo
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00Draft Initial Study_230 Long Ranch Rd_P24-00114-ECPA_ocr.PDF:cottonweed (Micropus amphibolus), and green monardella (Monardella viridis). Of these five special-status plants, project biologists
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:(Pickeringia montana), and whiteleaf manzanita (Arctostaphylos manzanita ssp. manzanita). In some areas
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Eryngium jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Erigeron greenei
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Layia septentrionalis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Amsinckia lunaris
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Streptanthus hesperidis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Astragalus claranus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Trichostema ruygtii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Limnanthes vinculans
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Hesperolinon sharsmithiae
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Leptosiphon jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus purpureus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Penstemon newberryi var. sonomensis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Brodiaea leptandra
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Amsinckia lunaris
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Astragalus breweri
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Astragalus claranus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Astragalus clevelandii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Castilleja ambigua var, meadii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus divergens
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus sonomensis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Clarkia breweri
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Clarkia gracilis SSP-. tracv.i
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Erigeron biolettii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Erigeron greenei
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Harmonia nutans
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ranunculus lobbii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Trichostema ruygtii.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Triteleia lugens
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Few-flowered Navarretia Navarretia leucocephala ssp. pauciflora (=N.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Sebastopol Meadowfoam Limnanthes vinculans
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Amorpha californica
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Amsinckia lunaris
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Aphyllon validum ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Astragalus breweri
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Astragalus claranus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Astragalus clevelandii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Brodiaea leptandra
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Calystegia collina ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus confusus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus divergens
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus pinetorum
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Castilleja ambigua
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Castilleja ambigua
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Downingia pusilla
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Erigeron biolettii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus purpureus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Clarkia breweri
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Clarkia gracilis ssp.
