zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Atriplex cordulata var.
zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Calochortus striatus
zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Caulanthus californicus
zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Delphinium recurvatum
zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Eremalche parryi ssp.
zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Lasthenia chrysantha
zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Layia munzii
zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Monolopia congdonii
zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Opuntia basilaris var.
zips/2025111093/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND 10-29-2025.PDF:Pseudobahia peirsonii
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Patterson HE_Final IS (edited) ocr.PDF:or more housing sites: big tarplant (Blepharizonia plumosa).
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Astragalus tener var. tener)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Lasthenia chrysantha)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Blepharizonia plumosa)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Puccinellia simplex)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Eryngium racemosum)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Eschscholzia rhombipetala)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Malacothamnus hallii)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Atriplex cordulata var. cordulata)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Chloropyron molle ssp. hispidum)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Caulanthus lemmonii)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Atriplex minuscula)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Phacelia phacelioides)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Leptosyne hamiltonii)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Sphenopholis obtusata)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Navarretia prostrata)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Acmispon rubriflorus)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Extriplex joaquinana)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Sagittaria sanfordii)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Navarretia nigelliformis ssp. radians)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Madia radiata)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Eryngium spinosepalum)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Atriplex subtilis)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Eriastrum tracyi)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Atriplex persistens)
zips/2025111094/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APPENDICES A thru E OCR.PDF:(Trichocoronis wrightii var. wrightii)
zips/2025111100/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hemet AAB Draft IS_November 2025_a11y.PDF:individuals of small-ﬂowered microseris (Microseris douglasii ssp. platycarpha), were observed
zips/2025111107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix IS-1 - Tree Inventory Report.PDF:Southern California black walnut (Juglans californica)
