zips/2025111110/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study Preferred Pump_Public Review Final Draft IS_11.PDF:Fritillaria agrestis (stinkbells – plant)
zips/2025111110/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study Preferred Pump_Public Review Final Draft IS_11.PDF:one special-status plant species within or near the Study Area. One species, stinkbells (Fritillaria agrestis), was
zips/2025111110/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study Preferred Pump_Public Review Final Draft IS_11.PDF:Downingia pusilla
zips/2025111110/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study Preferred Pump_Public Review Final Draft IS_11.PDF:Fritillaria agrestis
zips/2025111110/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study Preferred Pump_Public Review Final Draft IS_11.PDF:Gratiola heterosepala
zips/2025111111/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Final_LCI.PDF:alvordiana), scrub oak (Quercus dumosa), leather oak (Quercus durata), blue oak (Quercus
zips/2025111111/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Final_LCI.PDF:douglasii), valley oak (Quercus lobata), desert oak (Quercus turbinella), and California bay laurel
zips/2025111140/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ENV-2025-2885-MND.PDF:California Black Walnut (Juglans californica). In addition, on December 11, 2020, the City
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:(Leptosiphon latisectus, CNPS 4.3) was widespread in higher-elevation meadows near the old
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Anisocarpus scabridus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Arctostaphylos manzanita ssp. elegans
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Astragalus agnicidus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Astragalus umbraticus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Calycadenia micrantha
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Carex praticola
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Epilobium oreganum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Erigeron maniopotamicus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Erythronium oregonum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Erythronium revolutum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Gilia capitata ssp. pacifica
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Hosackia yollabolliensis
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Howellia aquatilis
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Iliamna latibracteata
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Kopsiopsis hookeri
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lathyrus biflorus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lupinus constancei
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lupinus elmeri
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Montia howellii
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Packera bolanderi var. bolanderi
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Sabulina decumbens
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Sidalcea malviflora ssp. patula
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Thermopsis robusta
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Allium hoffmanii
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Arctostaphylos hispidula
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Arnica spathulata
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Astragalus rattanii var. rattanii
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Carex scabriuscula
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Collomia tracyi
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Coptis laciniata
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Cypripedium fasciculatum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Cypripedium montanum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Epilobium septentrionale
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Erigeron robustior
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Fritillaria glauca
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Fritillaria purdyi
