zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Indian Valley Spineflower (Aristocapsa insignis), CRPR 1B.2
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Salinas Milkvetch (Astragalus macrodon), CRPR 4.3
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Dwarf Calycadenia (Calycadenia villosa), CRPR 1B.1
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Hardham’s Evening-primrose (Camissoniopsis hardhamiae), CRPR 1B.2
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:San Luis Obispo Owl’s-clover (Castilleja densiflora subsp. obispoensis), CRPR 1B.2
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Lemmon's Jewelflower (Caulanthus lemmonii), CRPR 1B.2
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Douglas’ Spineflower (Chorizanthe douglasii), CRPR 4.3
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Straight-awned Spineflower (Chorizanthe rectispina), CRPR 1B.3
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Yellow-flowered Eriastrum (Eriastrum luteum), CRPR 1B.2
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Elegant Wild Buckwheat (Eriogonum elegans), CRPR 4.3
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Trumpet-throated Gilia (Gilia tenuiflora subsp. amplifaucalis), CRPR 4.3
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Santa Lucia Dwarf Rush (Juncus luciensis), CRPR 1B.2
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Ferris’ Goldfields (Lasthenia ferrisiae), CRPR 4.2
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Salinas Valley Goldfields (Lasthenia leptalea), CRPR 4.3
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Spring Lessingia (Lessingia tenuis), CRPR 4.3
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Jones’ Bush-mallow (Malacothamnus jonesii), CRPR 4.3
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Spreading Navarretia (Navarretia fossalis), Federal Threatened, CRPR 1B.1
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Shining Navarretia (Navarretia nigelliformis subsp. radians), CRPR 1B.2
zips/2025101087/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT ISMND - Dec 2025 - Hunter Ranch -.PDF:Another sensitive plant species, Salinas Valley goldfields (Lasthenia leptalea), was observed
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Eriogonum kennedyi
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Allium howellii
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Berberis nevinii
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Castilleja cinerea
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Chorizanthe parryi
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Galium johnstonii
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Heuchera parishii
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Hulsea vestita
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Ivesia argyrocoma
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Lilium humboldtii
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Lilium parryi
zips/2025120224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Boat Storage - CEQA - Appendix B - Flattened Biological Resources Assessment & Jurisdictional Delineation (1).PDF:Sidalcea pedata
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:Watershield (Brasenia schreberi)
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:delineates five plant species as sensitive: Rorippa subumbellata (Tahoe yellow cress);
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:Arabis rigidissima var. demota (Galena Creek rock cress); Lewisia longipetala
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:(longpetaled Lewisia); Draba asterophora v. macrocarpa (Cup Lake draba); and Draba
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:(Stuckenia filiformis
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:(Brasenia schreberi)
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:Austin’s astragalus (Astragalus austiniae)
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:Broad-nerved hump moss (Meesia uliginosa)
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:Marsh skullcap (Scutellaria galericulata)
zips/2025120227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TKPOA Well #4 ISMND 20251113 Final Draft v1.PDF:Mingian moonwort (Botrychium minganense)
