zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:by valley oak (Quercus lobata). The shrub layer consists of fragrant sumac (Rhus aromatica),
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Baker’s navarretia (Navarretia leucocephala ssp. bakeri)—CNPS rank 1B.1
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Boggs Lake hedge-hyssop (Gratiola heterosepala)—state listed as endangered
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Henderson’s bent grass (Agrostis hendersonii)—CNPS rank 3.2
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Watershield (Brasenia schreberi)—CNPS rank 2B.3
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:• Ahart’s paronychia (Paronychia ahartii)—CNPS 1B.1
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Red Bluff dwarf-rush (Juncus leiospermus var. leiospermus)—CNPS rank 1B.1
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Red-flowered lotus (Acmispon rubriflorus)—CNPS 1B.1
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:wislizenii). The shrub layer consists of fragrant sumac (Rhus aromatica), redbud (Cercis
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Orcuttia tenuis
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Slender Orcutt grass (Orcuttia tenuis)
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Balsamorhiza macrolepis
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Cryptantha crinita
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Paronychia ahartii
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Acmispon rubriflorus
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Limnanthes floccosa ssp. floccosa
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Sagittaria sanfordii
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Juncus leiospermus var. lefospermus
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Agrostis hendersonii
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:and interior live oak (Q. wislizeni). The shrub layer consists of fragrant sumac (Rhus aromatica),
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Baker’s navarretia (Navarretia leucocephala ssp. bakeri)
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Boggs Lake hedge-hyssop (Gratiola heterosepala)
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Henderson’s bent grass (Agrostis hendersonii)
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Watershield (Brasenia schreberi)
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Orcuttia tenuis
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Brasenia schreberi
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:The 2017 NES found that the BSA supported suitable habitat for five specialstatus plant species: Ahart’s paronychia (Paronychia ahartii), CNPS rank 1B.1;
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:dwarf-rush (Juncus leiospermus var. leiospermus), CNPS rank 1B.1; Redflowered lotus (Acmispon rubriflorus), CNPS rank 1B.1; and silky cryptantha
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Slender Orcutt Grass Orcuttia tenuis
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Agrostis hendersonii
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Brasenia schreberi
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Cryptantha crinita
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Gratiola heterosepala
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Juncus leiospermus var. leiospermus
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Limnanthes floccosa ssp. floccosa
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Navarretia leucocephala ssp. bakeri
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Orcuttia tenuis
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Paronychia ahartii
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:of fragrant sumac (Rhus aromatica), redbud (Cercis occidentalis), and Himalayan
