zips/2023020138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/31680036 Fresno Central Southeast SP Recirculated Draft ISMND_PUBLIC.PDF:California satintail (Imperata brevifolia)
zips/2023020138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/31680036 Fresno Central Southeast SP Recirculated Draft ISMND_PUBLIC.PDF:California jewel flower (Caulanthus californicus)
zips/2023020138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/31680036 Fresno Central Southeast SP Recirculated Draft ISMND_PUBLIC.PDF:Madera leptosiphon (Leptosiphon serrulatus)
zips/2023020138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/31680036 Fresno Central Southeast SP Recirculated Draft ISMND_PUBLIC.PDF:Succulent owl’s clover (Castilleja campestris ssp. succulenta) FT
zips/2023020138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/31680036 Fresno Central Southeast SP Recirculated Draft ISMND_PUBLIC.PDF:Sanford’s arrowhead (Sagittaria sanfordii)
zips/2023020138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/31680036 Fresno Central Southeast SP Recirculated Draft ISMND_PUBLIC.PDF:Greene’s tuctoria (Tuctoria greenei)
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:hirtum), tarweed (Holocarpha virgata), chicory (Cichorium intybus), stinkwort
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Holocarpha virgata
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:myrtifolia), Hoover’s calycadenia (Calycadenia hooveri), spicate calycadenia
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:(Calycadeni spicata), and Patterson’s navarretia (Navarretia paradoxiclara) are
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Agrostis hendersonii
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Arctostaphylos myrtifolia
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Balsamorhiza macrolepis
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Calycadenia hooveri
