zips/2026010359/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/THE TOWERS, LLC, PROJ-25-0013 IS-MND.PDF:Delphinium recurvatum
zips/2026010359/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/THE TOWERS, LLC, PROJ-25-0013 IS-MND.PDF:Sagittaria sanfordii
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:{Brodiaea insignis)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:(Euphorbia hooveri)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:(Pseudobahia peirsonii)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:{Tuctoria greenei)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:{Atriplex minuscula)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:{Atriplex subtilis)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:(Diplacus pictus)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:{Eriogonum nudum
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:{Eryngium spinosepalum)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:(Erythranthe norrisii)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:{Helianthus winteri)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:{Lasthenia chrysantha)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:{Leptosiphon serrulatus)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:(Sagittaria sanfordii)
zips/2026010389/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exeter ID - Yokohl Creek Recharge Project - Initial Study.PDF:(Delphinium recurvatum)
