zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/02 Adams Pond IS-MND - for PUBLIC REVIEW - 2026 01 15.PDF:Astragalus rattanii
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/02 Adams Pond IS-MND - for PUBLIC REVIEW - 2026 01 15.PDF:Eriastrum tracyi
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/02 Adams Pond IS-MND - for PUBLIC REVIEW - 2026 01 15.PDF:Euphorbia ocellata
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/02 Adams Pond IS-MND - for PUBLIC REVIEW - 2026 01 15.PDF:Harmonia stebbinsii
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/02 Adams Pond IS-MND - for PUBLIC REVIEW - 2026 01 15.PDF:Limnanthes floccosa
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/02 Adams Pond IS-MND - for PUBLIC REVIEW - 2026 01 15.PDF:Sedum sanhedrinum
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Ceanothus cuneatus
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Eriogonum nudum
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Rhus aromatica
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Astragalus rattanii
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Eriastrum tracyi
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Euphorbia ocellata
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Anisocarpus scabridus
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Astragalus rattanii var. jepsonianus
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Balsamorhiza macrolepis
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Carex klamathensis
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Chlorogalum pomeridianum var. minus
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Epilobium nivium
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Eriastrum tracyi
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Euphorbia ocellata ssp. rattanii
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Fritillaria pluriflora
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Harmonia stebbinsii
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Hesperolinon tehamense
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Horkelia daucifolia var. indicta
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Limnanthes floccosa ssp. floccosa
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Sedum sanhedrinum
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Ceanothus cuneatus
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Eriogonum nudum
zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix H - Biological Resource Evaluation.PDF:Rhus aromatica
zips/2026010592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C PAR200034 (Columbia Heights Apartments) Ph I Arch.PDF:which were used (Quercus californica, Quercus agrifolia, Quercus chrysolepis, Quercus dumosa,
zips/2026010592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C PAR200034 (Columbia Heights Apartments) Ph I Arch.PDF:Quercus engelmannii, and Quercus wislizenii). Seeds, particularly of grasses, flowering plants,
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Eryngium spinosepalum
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Lasthenia chrysantha
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Pseudobahia peirsonii
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Senecio aphanactis
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Monolopia congdonii
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Atriplex minuscula
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Atriplex subtilis
