zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Braunton's milk-vetch (Astragalus brauntonii) - Federally Endangered
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Agoura Hills dudleya (Dudleya cymosa ssp. agourensis) – Federally Threatened
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Marcescent dudleya (Dudleya cymosa ssp. marcescens) – Federally Threatened,
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Santa Monica dudleya (Dudleya cymosa ssp. ovatifolia) – Federally Threatened
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Conejo dudleya (Dudleya parva) – Federally Threatened
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Verity's dudleya (Dudleya verityi) – Federally Threatened
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:California Orcutt grass (Orcuttia californica) - Federally Endangered, State
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Lyon's pentachaeta (Pentachaeta lyonii) - Federally Endangered, State Endangered
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Lyon’s pentachaeta (Pentachaeta lyonii) is a federal and California endangered plant species
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Braunton’s milkvetch (Astragalus brauntonii) is a federal endangered perennial herb species
zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:californica), California black walnut (Juglans californica), and toyon (Heteromeles
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Astragalus tener
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Brodiaea rosea ssp.
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Centromadia parryi
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Chloropyron molle
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Downingia pusilla)
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Fritillaria agrestis)
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Hibiscus lasiocarpos
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Juncus leiospermus
