zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Astragalus tener var. ferrisiae
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Delphinium recurvatum
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Monardella venosa
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Pseudobahia bahiifolia
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Hartweg's Golden Sunburst Pseudobahia bahiifolia
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Pinus radiata
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Astragalus tener var.
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Delphinium recurvatum
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Monardella venosa
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Pseudobahia bahiifolia
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Corethrogyne filaginifolia
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Eriogonum nudum var.
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Eriastrum luteum
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Horkelia cuneata
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Juncus luciensis
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:CalFlora. 2022. CalFlora observation search for Chorizanthe xanti var. leucotheca. Online:
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Aristocapsa insignis
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Calochortus simulans
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Calycadenia villosa
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Camissoniopsis hardhamiae
