zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Alkali milk-vetch (Astragalus tener var. tener); CRPR 1B.2
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Heartscale (Atriplex cordulata var. cordulata); CRPR 1B.2
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Lesser saltscale (Atriplex minuscula); CRPR 1B.1
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Delta button-celery (Eryngium racemosum); state endangered, CRPR 1B.1
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:San Joaquin spearscale (Extriplex joaquinana); CRPR 1B.2
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Heckard’s pepper-grass (Lepidium latipes var. heckardii); CRPR 1B.2
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Wright’s trichocoronis (Trichocoronis wrightii var. wrightii); CRPR 2B.1
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Atriplex subtilis subtle orache
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Lepidium latipes Heckard’s
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Orcuttia pilosa
zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Sidalcea keckii Keck’s
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Allium peninsulare var. franciscanum
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Alopecurus aequalis var. sonomensis
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Amorpha californica var. napensis
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Amsinckia lunaris
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Arctostaphylos stanfordiana ssp.
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Astragalus claranus
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Arctostaphylos densiflora
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Astragalus tener var. tener
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Balsamorhiza macrolepis
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Blennosperma bakeri
