zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:the potential to occur within the BSA include heartscale (Atriplex cordulata var. cordulata). Special-status
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:plants that have the potential to occur within the BSA include heartscale (Atriplex cordulata var.
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Navarretia leucocephala _/_/1B.1
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Amsinckia lunaris)
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Atriplex depressa)
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Puccinellia simplex)
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Layia septentrionalis)
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Lasthenia glabrata ssp.
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Astragalus tener var.
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Atriplex cordulata var.
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Chloropyron palmatum)
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Cuscuta obtusiflora var.
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Extriplex joaquinana)
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Atriplex persistens)
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Heteranthera dubia)
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Hibiscus lasiocarpos var.
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:(Trichocoronis wrightii var. _/_/2B.1
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Heartscale (Atriplex cordulata var. cordulata)
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Navarretia leucocephala ssp. bakeri
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Amsinckia lunaris
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Atriplex depressa
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Puccinellia simplex
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Layia septentrionalis
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Lasthenia glabrata ssp. coulteri
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Astragalus tener var. ferrisiae
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Atriplex cordulata var. cordulata
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Chloropyron palmatum
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Cuscuta obtusiflora var. glandulosa
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Extriplex joaquinana
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Atriplex persistens
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Heteranthera dubia
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Brasenia schreberi
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Trichocoronis wrightii var. wrightii
zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:Centromadia parryi
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:privet (Ligustrum lucidum). California pea (Lathyrus jepsonii var. californicus) was
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Project Area but were not found, including a 2002 occurrence of Symphyotrichum lentum (Suisun
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Astragalus tener
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Atriplex coronata
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Azolla microphylla
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Brasenia schreberi
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Carex comosa
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Chloropyron molle
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Cicuta maculata
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Erysimum capitatum
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Fritillaria agrestis
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Lasthenia ferrisiae
