zips/2026020578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ELOP MND Initial Study January 30 2026 with appendices.PDF:sensitive plants, specifically alkali mariposa lily (Calochortus striatus), desert cymopterus
zips/2026020578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ELOP MND Initial Study January 30 2026 with appendices.PDF:(Cymopterus deserticola), and Barstow woolly sunflower (Eriophyllum mohanense) are expected
zips/2026020578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ELOP MND Initial Study January 30 2026 with appendices.PDF:brevifolia), alkali mariposa lily (Calochortus striatus), desert cymopterus (Cymopterus
zips/2026020578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ELOP MND Initial Study January 30 2026 with appendices.PDF:Oenothera deltoides
zips/2026020578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ELOP MND Initial Study January 30 2026 with appendices.PDF:Lessingia germanorum
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Gratiola heterosepala
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Downingia pusilla
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Chloropyron molle
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Navarretia myersii
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Juncus leiospermus
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Orcuttia viscida
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Sagittaria sanfordii
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:(Orcuttia viscida)
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Sacramento Orcutt Grass Orcuttia viscida
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Balsamorhiza macrolepis
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Gratiola heterosepala
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Clarkia biloba ssp. brandegeeae
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Downingia pusilla
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Chloropyron molle ssp. hispidum
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Navarretia myersii ssp. myersii
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Juncus leiospermus var. leiospermus
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Orcuttia viscida
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Sagittaria sanfordii
zips/2026020581/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/4.PDF:Fritillaria agrestis
