zips/2008042054/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Samuel M Gantner Elementary - Threatened and Endangered Assessment.PDF:state-listed as endangered, the fleshy owl’s-clover (Castilleja campestris spp. succulenta), with the
zips/2008042054/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Samuel M Gantner Elementary - Threatened and Endangered Assessment.PDF:Fleshy Owl's-clover Castilleja campestris ssp. succulenta
zips/2008042054/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LUSD_Samuel M Gantner Elementary_ISMND_Draft.PDF:(Castilleja campestris spp. succulenta), with the potential to be present on the project site. The
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment C_Arborist Report.PDF:(4) Cupressus abramsiana - All Santa Cruz Cypress trees.
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:(Bromus hordeaceus). A few coast live oaks (Quercus agrifolia) and shreve oaks (Quercus parvula
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Quercus parvula var. shrevei
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Acanthomintha duttonii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Agrostis blasdalei
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Allium peninsulare var. franciscanum
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Amsinckia lunaris
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Anomobryum julaceum
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Aphyllon robbinsii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Arctostaphylos andersonii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Arctostaphylos glutinosa
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Arctostaphylos ohloneana
