zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1_Species Compendium.PDF:Hosackia crassifolia – big deervetch
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Abronia villosa var.
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Allium howellii var.
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Allium parishii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Arenaria paludicola
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Abronia nana var.
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Astragalus hornii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Azolla microphylla
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Berberis nevinii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Artemisia palmeri
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Boechera dispar
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Boechera parishii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Boechera shockleyi
