zips/2026030433/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR1.PDF:Brandegee’s Clarkia (Clarkia biloba ssp. brandegeeae)
zips/2026030433/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR1.PDF:Jepson’s onion (Allium jepsonii)
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Abronia villosa var.
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Allium marvinii
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Astragalus brauntonii
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Astragalus hornii var.
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Atriplex coulteri
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Atriplex parishii
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Baccharis malibuensis
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Berberis nevinii
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Calochortus weedii
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Calystegia felix
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Centromadia parryi
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Chorizanthe parryi
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Cladium californicum
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Dudleya multicaulis
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Eriastrum densifolium
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Horkelia cuneata var.
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Lasthenia glabrata
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Lepidium virginicum
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Monardella australis
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Muhlenbergia utilis
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Nama stenocarpa
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Nasturtium gambelii
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Navarretia prostrata
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Nolina cismontana
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Pentachaeta aurea
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Phacelia stellaris
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Sagittaria sanfordii
zips/2026030434/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment .PDF:Senecio aphanactis
