zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:alkali-sink goldfields (Lasthenia chrysantha), Delta button-celery (Eryngium racemosum), Ewan's
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:larkspur (Delphinium hansenii ssp. Ewanianum), golden goodmania (Goodmania luteola), Heartscale
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:(Atriplex cordulata var. cordulata), Hoover's cryptantha (Cryptantha hooveri), lesser saltscale (Atriplex
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:minuscula), Merced phacelia (Phacelia ciliata var. opaca), palmate-bracted bird's-beak (Chloropyron
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:palmatum), Parry's rough tarplant (Centromadia parryi ssp. rudis), recurved larkspur (Delphinium
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:recurvatum), spiny-sepaled button-celery (Eryngium spinosepalum), subtle orache (Atriplex subtilis),
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:vernal pool smallscale (Atriplex persistens), California alkali grass (Puccinellia simplex), Colusa grass
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:(Neostapfia colusana).
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:Goodmania luteola
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:Atriplex cordulata
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:Cryptantha hooveri
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:Atriplex minuscula
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:Phacelia ciliata var.
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:Centromadia parryi
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:Atriplex subtilis
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:Atriplex persistens
zips/2026030613/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Talley Recharge Project_ISMND_Public Draft_3-10-2026_fnl.PDF:Puccinellia simplex
zips/2026030615/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Public ISMND Patterson Reservoir Remediation.PDF:tarplant (Centromadia parryi ssp. congdonii; CRPR 1B.1). This species is associated with
zips/2026030615/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Public ISMND Patterson Reservoir Remediation.PDF:Centromadia parryi
zips/2026030615/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Public ISMND Patterson Reservoir Remediation.PDF:Astragalus tener
zips/2026030615/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Public ISMND Patterson Reservoir Remediation.PDF:Centromadia parryi
zips/2026030615/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Public ISMND Patterson Reservoir Remediation.PDF:Lupinus constancei
zips/2026030615/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Public ISMND Patterson Reservoir Remediation.PDF:Senecio aphanactis
zips/2026030615/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Public ISMND Patterson Reservoir Remediation.PDF:Stuckenia filiformis
zips/2026030615/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Public ISMND Patterson Reservoir Remediation.PDF:Suaeda californica
