zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Astragalus pauperculus
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Agrostis hendersonii
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Clarkia borealis ssp.
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Juncus leiospermus var.
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Sagittaria sanfordii
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Arnica venosa
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Adiantum shastense
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Neviusia cliftonii
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Bulbostylis capillaris
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Orcuttia tenuis
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Chlorogalum pomeridianum var. pomeridianum
zips/2026030860/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/030626 Shasta College Facilities Master Plan Amendment Two IS&MND.PDF:Eriophyllum lanatum
