zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Abronia villosa var.
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Allium marvinii
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Galium andrewsii
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Astragalus hornii
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Atriplex coronata
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Atriplex parishii
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Atriplex serenana
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Boechera parishii
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Boechera peirsonii
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Chorizanthe parryi
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Chorizanthe xanti
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Heuchera parishii
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Lasthenia glabrata
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Nama stenocarpa
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Oreonana vestita
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Parnassia cirrata
zips/2026041065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Assessment-2_OPT.PDF:Silene krantzii
