zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Delphinium purpusii),
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Iris munzii).
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Brodiaea insignis)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Clarkia springvillensis)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Monolopia congdonii)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Pseudobahia peirsonii)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Sidalcea keckii)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Allium abramsii)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Cinna bolanderi)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Cryptantha incana)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Delphinium inopinum)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Delphinium purpusii)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Delphinium recurvatum)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Diplacus pictus)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Dudleya cymosa
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Eryngium spinosepalum)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Iris munzii)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Leptosiphon serrulatus)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Navarretia nigelliformis
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Senecio aphanactis)
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Viola pinetorum
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Delphinium purpusii),
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:(Diplacus pictus) and Munz’s iris (Iris munzii). Their potential occurrence
zips/2026041305/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Full ISMND.PDF:Pholistoma auritum
