zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Atriplex cordulata var. cordulata
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Atriplex cordulata var. erecticaulis
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Atriplex depressa
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Atriplex minuscula
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Atriplex persistens
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Atriplex subtilis
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Caulanthus californicus
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Delphinium recurvatum
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Eryngium spinosepalum
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Euphorbia hooveri
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Helianthus winteri
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Lasthenia chrysantha
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Lasthenia glabrata ssp. coulteri
zips/2026050300/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/FINAL_Clements Ranch_IS-MND_v5_OCR.PDF:Orcuttia inaequalis
