zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Astragalus tener var. ferrisiae
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Carex comosa
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Centromadia parryi ssp. parryi
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Cuscuta obtusiflora var. glandulosa
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Downingia pusilla
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Gratiola heterosepala
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Juncus leiospermus var. ahartii
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Lasthenia chrysantha
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Lepidium latipes var. heckardii
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Orcuttia tenuis
