zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:(Brasenia schreberi)
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:(Castilleja campestris ssp.
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:(Lagophylla dichotoma)
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:(Neostapfia colusana)
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:(Orcuttia inaequalis)
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:(Orcuttia pilosa)
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:(Phacelia ciliata var. opaca)
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:Orcuttia pilosa
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:Colusa Grass Neostapfia colusana
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:Fleshy Owl's-clover Castilleja campestris ssp. succulenta
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:Hairy Orcutt Grass Orcuttia pilosa
zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:San Joaquin Valley Orcutt Grass Orcuttia inaequalis
zips/2026060160/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Resources and WRMSHCP Consistency Report.PDF:Lupinus arboreus yellow bush lupine
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:presence of suitable habitat: Contra Costa goldfields (Lasthenia conjugens),
