zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:General occurrences of bent-flowered fiddleneck (Amsinckia lunaris) and Santa
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Cruz clover (Trifolium buckwestiorum) extend over the site vicinity, mapped by
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Sonoma sunshine (Blennospera bakeri), Burke's goldfields (Lasthenia burkei),
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:legenere (Legenere limosa), Sebastopol meadowfoam (Limnanthes vinculans),
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:many-flowered navarretia (Navarretia leucocephala ssp. plieantha), Baker’s
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:navarretia (Navarretia leucocephala ssp. Bakeri), and two-fork clover (Trifolium
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Alopecurus aequalis var. sonomensis
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Amorpha californica var. napensis
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Amsinckia lunaris
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Arctostaphylos densiflora
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Arctostaphylos stanfordiana ssp.
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Astragalus claranus
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Balsamorhiza macrolepis
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Blennosperma bakeri
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Brodiaea leptandra
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Calamagrostis crassiglumis
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Ceanothus divergens
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Castilleja uliginosa
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Ceanothus confusus
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Ceanothus foliosus var. vineatus
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Ceanothus purpureus
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Ceanothus sonomensis
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Chorizanthe valida
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Clarkia imbricata
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Cuscuta obtusiflora var. glandulosa
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Delphinium luteum
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Downingia pusilla
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Fritillaria liliacea
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Hemizonia congesta ssp. congesta
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Horkelia tenuiloba
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Lasthenia burkei
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Lasthenia californica ssp. bakeri
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Layia septentrionalis
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Leptosiphon jepsonii
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Microseris paludosa
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Lilium pardalinum ssp. pitkinense
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Limnanthes vinculans
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Navarretia leucocephala ssp. bakeri
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Rhynchospora alba
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Rhynchospora californica
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Rhynchospora capitellata
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Rhynchospora globularis
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Trifolium amoenum
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Trifolium buckwestiorum
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Trifolium hydrophilum
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Triquetrella californica
zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:Viburnum ellipticum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Arctostaphylos andersonii
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Dirca occidentalis
