zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• Dwarf calycadenia (Calycadenia villosa)
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• Elegant wild buckwheat (Eriogonum elegans)
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• La Panza mariposa-lily (Calochortus simulans)
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• Lemmon's jewelflower (Caulanthus lemmonii)
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• Salinas milk-vetch {Astragalus macrodon)
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• Salinas Valley goldfields (Lasthenia leptalea)
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• Stinkbells (Fritillaria agrestis)
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• Straight-awned spineflower {Chorizanthe rectispina)
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• Yellow-flowered eriastrum {Eriastrum luteum)
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:wind-protected tree groves with eucalyptus (Eucalyptus spp.), Monterey pine (Pinus radiata), and/or
zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:Monterey cypress (Cupressus macrocarpa) near the coast from northern Mendocino to Baja California
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:3. Succulent owl’s clover (Castilleja campestris ssp. Succulenta; Endangered)
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:4. Colusa grass (Neostapfia colusana; Endangered)
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:5. San Joaquin Valley Orcutt grass (Orcuttia inaequalis; Endangered)
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:(Holocarpha virgata), soft brome, and rattail sixweeks grass (Festuca myuros). Annual grasslands may
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Area: Henderson’s bent grass (Agrostis hendersonii), succulent owl’s clover (Castilleja campestris var.
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:succulenta), dwarf downingia (Downingia pusilla), spiny-sepaled button-celery (Eryngium spinosepalum),
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:and shining navarretia (Navarretia nigelliformis ssp. radians). These species are described in more detail
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:(Hordeum marinum), woolly marbles (Psilocarphus brevissimus), and Great Valley button-celery. The
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Colusa Grass Neostapfia colusana
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Fleshy Owl's-clover Castilleja campestris ssp. succulenta
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Hairy Orcutt Grass Orcuttia pilosa
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:San Joaquin Valley Orcutt Grass Orcuttia inaequalis
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Atriplex cordulata var. cordulata
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Atriplex minuscula
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Atriplex persistens
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Phacelia ciliata var. opaca
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Sidalcea keckii
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Clarkia rostrata
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Navarretia nigelliformis ssp. radians
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Navarretia myersii ssp. myersii
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Delphinium recurvatum
