zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Allium howellii
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Astragalus hornii
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Atriplex cordulata
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Atriplex coronata
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Atriplex tularensis
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Diplacus pictus
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Eremalche parryi
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Eriastrum hooveri
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Clarkia exilis
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Layia leucopappa
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Opuntia basilaris
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Stylocline masonii
zips/2026060645/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CSUB Ground Mount Solar_AppB_Bio Resources Assessment_OCR.PDF:Tortula californica
zips/2026060678/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biological Resources Assessment Report_1.PDF:californica), Monterey Pine (Pinus radiata), Coastal Redwood (Sequoia
